mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.726143678029378,0.02954211032266328,0.541390577952067,0.05966632135242326,100,5,2,30,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.9472715461238631,0.9473798181030749,0.9479192983722525,0.9475235541997301,0.00028330289201330803,34
4.766614119211833,0.14483065088718453,0.6674907207489014,0.14108037051316386,100,10,4,30,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 30, 'bootstrap': False}",0.9482459939367691,0.9479933593186084,0.9483884938824124,0.9482092823792633,0.00016338836090539074,1
4.406343936920166,0.23515092895106846,0.27836283047993976,0.03932138917190827,100,5,1,10,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",0.9398729608777249,0.9411000433087917,0.9409896416068142,0.9406542152644436,0.000554265848683534,86
5.432803630828857,0.6567652926187024,0.46611618995666504,0.2618495915835355,100,10,2,20,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.9474880900822867,0.9481016312978201,0.9479553903345725,0.9478483705715598,0.0002616589740432107,24
4.600371519724528,0.29815443030019106,0.49213655789693195,0.2415054197076291,100,10,2,,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",0.9475602714017612,0.947668543380973,0.9486772295809723,0.9479686814545688,0.0005029652346786539,12
5.569474220275879,2.1794047742451776,0.6461058457692465,0.28963804064336424,100,5,1,,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.9463331889706944,0.9458279197343727,0.9463673439924929,0.9461761508991867,0.00024663110034930913,66
14.33588965733846,4.2221829778848035,2.2242156664530435,0.09419937049617061,300,2,4,20,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': False}",0.9477407247004476,0.9481377219575574,0.9484967697693724,0.9481250721424591,0.0003087836890423345,4
7.793685515721639,1.304810392504011,0.5636776288350424,0.10216696988313757,200,2,4,20,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.9469828208459651,0.9469106395264906,0.9477749305229726,0.9472227969651428,0.00039152789171112656,53
8.685534874598185,2.9744245855291758,1.156701882680257,0.4858138847892601,200,10,2,30,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.9471271834849141,0.9480294499783456,0.9481719421084924,0.9477761918572507,0.00046259046128709405,27
12.114362637201944,0.4721868810446441,0.8500707944234213,0.26373536899087485,200,5,1,10,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",0.9398007795582504,0.9413887685866897,0.9411340094560942,0.9407745192003447,0.0006963486777924953,78
4.895156621932983,2.150996027754976,0.32096044222513836,0.1500107574317831,100,10,4,10,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 10, 'bootstrap': False}",0.9398729608777249,0.9404143207737837,0.9414227451546541,0.9405700089353876,0.0006422029424836181,93
1.56855575243632,0.02945711547137796,0.15919065475463867,0.009123949784328738,100,5,1,10,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",0.9391872383427169,0.9409917713295799,0.9409174576821742,0.940365489118157,0.0008337013041917634,98
6.7027662595113116,2.8120905362160546,0.8981688817342123,0.5798081889090247,200,2,1,30,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 30, 'bootstrap': False}",0.9454309224772629,0.9459001010538473,0.9459703324069729,0.9457671186460277,0.00023944938039811037,70
3.591264247894287,1.6633710291763764,0.3954494794209798,0.19289464160096564,100,2,2,,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",0.9466580049083297,0.9477407247004476,0.9482802179954524,0.9475596492014099,0.000674529503813232,32
5.9140697320302325,1.87707070857311,0.603252649307251,0.11866085025326154,200,5,2,20,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': True}",0.9475963620614984,0.9477768153601848,0.9482802179954524,0.9478844651390452,0.00028937414163158267,19
15.261714855829874,6.223039318186777,1.36812424659729,0.7035003595594653,300,5,2,20,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.9471632741446514,0.9471993648043886,0.9475944707113726,0.9473190365534708,0.00019531788693365578,48
8.874699592590332,3.4909477340012307,1.0852525234222412,0.48720824022632137,200,2,2,20,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.9468745488667533,0.9475963620614984,0.9479192983722525,0.947463403100168,0.00043675618397360393,37
