mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4027604579925537,0.09840055873789348,0.021830415725708006,0.00442438751810065,50,5,2,30,False,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.7724723944739595,0.782629347846459,0.7536418760652102,0.7452462929551595,0.7373820139591262,0.7582743850599829,0.016866713831356298,9
1.2328073978424072,0.07396635317318592,0.016802501678466798,0.0026432826163498326,50,10,4,30,False,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 30, 'bootstrap': False}",0.8042770639093,0.7829387959909626,0.7678584062671927,0.7036219869923307,0.7892966665755117,0.7695985839470595,0.03499860640993974,7
0.9759766101837158,0.04366369642390652,0.013106346130371094,0.002034034194539502,50,5,1,10,False,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",0.7885539023498107,0.777408314761332,0.7807585947849408,0.7748264197055705,0.760837252934761,0.776476896907283,0.009081597601455821,3
1.3280092239379884,0.04706918582434486,0.020862054824829102,0.005275484518366504,50,10,2,20,False,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 20, 'bootstrap': False}",0.7877211791288463,0.7926127914147475,0.7688561055358862,0.7540123761779512,0.7746974847280175,0.7755799873970898,0.013774441559028534,5
0.8625041007995605,0.04913090787544938,0.015746402740478515,0.0017080660664056289,50,10,2,,True,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': None, 'bootstrap': True}",0.8391364698629176,0.8613322580337113,0.7944628543182646,0.8077601446169569,0.822023998320524,0.8249431450304747,0.023488052527136313,1
1.5331641674041747,0.08104990433783545,0.020818042755126952,0.002930628230789108,50,5,1,,False,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None, 'bootstrap': False}",0.7407811544436222,0.7582666500325369,0.7415420412204208,0.7472005564209063,0.7130377394498058,0.7401656283134584,0.014935413886850067,10
4.522903203964233,0.1888868266449765,0.04589095115661621,0.011622219496398143,200,2,4,20,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': False}",0.8049912358203312,0.7855683335330512,0.7640578775675997,0.6987338744282983,0.7874416273174456,0.7681585897333452,0.03706261046084991,8
1.6701969623565673,0.05140185171790525,0.030030441284179688,0.0033982733229458418,100,2,4,20,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",0.8391344690760897,0.819010714412,0.7711302787843792,0.731747657677642,0.8244968744448073,0.7971039988789836,0.03985704382660124,2
2.566088390350342,0.12032806637051444,0.026274919509887695,0.004028568245517052,100,10,2,30,False,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 30, 'bootstrap': False}",0.7875926604927661,0.7904730646500739,0.7689537381680422,0.7544413014533882,0.772209329738551,0.7747340189005645,0.013150226665760092,6
1.8076054573059082,0.09929494979561698,0.017978906631469727,0.003346041200416571,100,5,1,10,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",0.7888276576124786,0.7772604774939083,0.7809001083564268,0.7735825002695242,0.7608882787976655,0.7762918045060007,0.009207945900532628,4
